nh,year,villid,thanaid,agehead,sexhead,educhead,famsize,hhland,hhasset,expfd,expnfd,exptot,dmmfd,dfmfd,weight,vaccess,pcirr,rice,wheat,milk,potato,egg,oil,lexptot,lnland,progvillm,progvillf
13111,1,3,1,41,1,0,5,3,4242,2404.1143,523.07471,2927.189,1,0,.65686274,0,.75,9.0224209,6.0901341,10.826905,6.1053057,2.0300446,40.600895,7.9821396,.029558802,1,1
13121,1,3,1,36,1,0,4,8,11615,3074.8411,2156.5842,5231.4253,0,1,.65686274,0,.75,9.0224209,6.0901341,10.826905,6.1053057,2.0300446,40.600895,8.5626307,.07696104,1,1
21015,1,1,2,50,1,12,9,839,1268879.5,4125.9531,2565.8262,6691.7793,0,0,1.5931373,1,.80000001,10.601344,8.1201782,8.1201782,7.1737342,1.6917039,40.600895,8.8087845,2.2396452,0,1
21035,1,1,2,60,1,0,8,194.5,204621.75,1987.9213,1221.2411,3209.1624,0,0,1.5931373,1,.80000001,10.601344,8.1201782,8.1201782,7.1737342,1.6917039,40.600895,8.0740767,1.0801088,0,1
21045,1,1,2,85,1,0,3,46,56367.578,2667.0276,1439.9783,4107.0059,0,0,1.5931373,1,.80000001,10.601344,8.1201782,8.1201782,7.1737342,1.6917039,40.600895,8.320693,.37843645,0,1
21054,1,1,2,48,1,0,9,2,9581.8105,5492.248,2274.0264,7766.2744,0,0,1.2352941,1,.80000001,10.601344,8.1201782,8.1201782,7.1737342,1.6917039,40.600895,8.957675,.019802628,0,1
21061,1,1,2,45,1,0,4,1,5340,3332.3184,397.88867,3730.207,0,1,.75367647,1,.80000001,10.601344,8.1201782,8.1201782,7.1737342,1.6917039,40.600895,8.2244873,.0099503305,0,1
22021,1,2,2,37,1,0,5,18,13020,2264.447,605.76563,2870.2126,0,1,.60283685,1,.85000002,9.0224209,6.0901341,8.1201782,6.1053057,1.6917039,35.187439,7.9624896,.16551444,0,1
22024,1,2,2,50,1,0,7,1.5,1353.3632,1301.7419,245.24878,1546.9907,0,0,1.3617021,1,.85000002,9.0224209,6.0901341,8.1201782,6.1053057,1.6917039,35.187439,7.3447132,.014888613,0,1
22025,1,2,2,35,1,8,6,363,298957.91,4689.4033,2824.9199,7514.3232,0,0,1.9858155,1,.85000002,9.0224209,6.0901341,8.1201782,6.1053057,1.6917039,35.187439,8.9246998,1.5325569,0,1
22031,1,2,2,37,1,0,4,10,6020,2127.8252,453.20752,2581.0327,0,1,.60283685,1,.85000002,9.0224209,6.0901341,8.1201782,6.1053057,1.6917039,35.187439,7.8563323,.095310181,0,1
22044,1,2,2,55,1,0,6,5,3498.4438,1571.4801,166.12524,1737.6053,0,0,1.3617021,1,.85000002,9.0224209,6.0901341,8.1201782,6.1053057,1.6917039,35.187439,7.4608383,.048790164,0,1
22045,1,2,2,68,1,4,6,263.5,289362.53,3235.4402,765.66528,4001.1055,0,0,1.9858155,1,.85000002,9.0224209,6.0901341,8.1201782,6.1053057,1.6917039,35.187439,8.2945757,1.2906091,0,1
22054,1,2,2,40,1,0,2,1,947.35419,2599.8105,1810.7998,4410.6104,0,0,1.3617021,1,.85000002,9.0224209,6.0901341,8.1201782,6.1053057,1.6917039,35.187439,8.3919954,.0099503305,0,1
22061,1,2,2,37,1,12,6,224,200550,2276.8079,935.62524,3212.4331,0,1,.60283685,1,.85000002,9.0224209,6.0901341,8.1201782,6.1053057,1.6917039,35.187439,8.0750952,1.1755733,0,1
22091,1,2,2,41,1,0,4,11,6190,1318.1757,521.0448,1839.2205,0,1,.60283685,1,.85000002,9.0224209,6.0901341,8.1201782,6.1053057,1.6917039,35.187439,7.5176406,.10436001,0,1
22101,1,2,2,37,0,0,3,2,2750,2002.9774,376.9115,2379.8889,0,1,.60283685,1,.85000002,9.0224209,6.0901341,8.1201782,6.1053057,1.6917039,35.187439,7.775229,.019802628,0,1
22121,1,2,2,53,0,0,1,1,1,3093.7881,420.21924,3514.0073,0,1,.60283685,1,.85000002,9.0224209,6.0901341,8.1201782,6.1053057,1.6917039,35.187439,8.1647968,.0099503305,0,1
23031,1,3,2,35,1,0,5,10,6610,2778.1838,377.85889,3156.0427,0,1,.75213671,1,.75,10.150224,6.0901341,8.1201782,6.8684692,1.6917039,35.187439,8.0573912,.095310181,0,1
23041,1,3,2,35,1,0,4,1,15400,2501.3533,1322.405,3823.7583,0,1,.75213671,1,.75,10.150224,6.0901341,8.1201782,6.8684692,1.6917039,35.187439,8.2492504,.0099503305,0,1
23044,1,3,2,55,1,0,8,16,16868.316,1085.9047,107.42322,1193.3279,0,0,1.4974359,1,.75,10.150224,6.0901341,8.1201782,6.8684692,1.6917039,35.187439,7.0853391,.14842001,0,1
23054,1,3,2,27,1,0,3,1,1119.908,1428.0236,244.95874,1672.9823,0,0,1.4974359,1,.75,10.150224,6.0901341,8.1201782,6.8684692,1.6917039,35.187439,7.4229608,.0099503305,0,1
23061,1,3,2,25,1,0,2,12,16105.022,5290.9731,1031.6011,6322.5742,0,0,.75213671,1,.75,10.150224,6.0901341,8.1201782,6.8684692,1.6917039,35.187439,8.7520399,.11332869,0,1
23081,1,3,2,47,1,0,10,27,24900,4214.2373,1152.0503,5366.2876,0,1,.75213671,1,.75,10.150224,6.0901341,8.1201782,6.8684692,1.6917039,35.187439,8.5880775,.23901691,0,1
23121,1,3,2,22,1,6,2,178,231195.02,4191.3657,1544.8638,5736.2295,0,0,.75213671,1,.75,10.150224,6.0901341,8.1201782,6.8684692,1.6917039,35.187439,8.6547318,1.0224509,0,1
24015,1,4,2,45,1,9,4,152,360948.69,3265.6653,5640.8174,8906.4824,0,1,.42767295,1,.77645165,8.1201782,6.7668157,9.4735422,5.4947748,2.0300446,37.894169,9.0946465,.92425889,1,1
24025,1,4,2,62,1,14,7,434,918899.69,5049.2046,1758.4053,6807.6099,0,0,.42767295,1,.77645165,8.1201782,6.7668157,9.4735422,5.4947748,2.0300446,37.894169,8.825943,1.6752256,1,1
24034,1,4,2,32,1,0,3,1,4973.6094,2789.7324,845.62646,3635.3589,0,0,2.9685535,1,.77645165,8.1201782,6.7668157,9.4735422,5.4947748,2.0300446,37.894169,8.1987381,.0099503305,1,1
24035,1,4,2,50,1,8,9,152,416693.75,2891.686,1132.0129,4023.699,0,1,.42767295,1,.77645165,8.1201782,6.7668157,9.4735422,5.4947748,2.0300446,37.894169,8.3002052,.92425889,1,1
24041,1,4,2,55,1,0,3,1,1218.0269,2530.3379,1033.0671,3563.405,0,1,.3018868,1,.77645165,8.1201782,6.7668157,9.4735422,5.4947748,2.0300446,37.894169,8.1787529,.0099503305,1,1
24055,1,4,2,69,1,8,2,448,1009676.6,4296.9277,3221.0044,7517.9321,0,0,.42767295,1,.77645165,8.1201782,6.7668157,9.4735422,5.4947748,2.0300446,37.894169,8.9251795,1.7011051,1,1
24061,1,4,2,36,1,0,4,2,8208.1475,2336.9197,650.62939,2987.5491,0,1,.3018868,1,.77645165,8.1201782,6.7668157,9.4735422,5.4947748,2.0300446,37.894169,8.0025434,.019802628,1,1
24071,1,4,2,30,1,0,4,1,3281.9053,2860.6714,779.36792,3640.0393,1,0,.3018868,1,.77645165,8.1201782,6.7668157,9.4735422,5.4947748,2.0300446,37.894169,8.2000246,.0099503305,1,1
24091,1,4,2,37,1,0,4,9,33820.543,2751.0488,1348.7954,4099.8442,1,1,.3018868,1,.77645165,8.1201782,6.7668157,9.4735422,5.4947748,2.0300446,37.894169,8.3189478,.086177699,1,1
24101,1,4,2,30,1,0,7,8.5,30755.176,2052.665,1425.188,3477.853,0,1,.3018868,1,.77645165,8.1201782,6.7668157,9.4735422,5.4947748,2.0300446,37.894169,8.154458,.081579991,1,1
31011,1,1,3,52,1,1,7,6,131550,4900.3345,1377.917,6278.2515,0,1,.6772083,1,.15000001,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,8.7450056,.058268908,0,1
31014,1,1,3,42,1,10,8,3,272465.84,3921.0313,1555.522,5476.5532,0,0,1.2875319,1,.15000001,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,8.6084137,.029558802,0,1
31024,1,1,3,50,1,12,6,32,1355562.5,5295.71,3779.2666,9074.9766,0,0,1.2875319,1,.15000001,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,9.1133862,.27763173,0,1
31025,1,1,3,35,1,9,8,60,357200,4181.5537,15745.364,19926.918,0,1,1.9312977,1,.15000001,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,9.8998766,.47000363,0,1
31035,1,1,3,70,1,10,5,6,588036.25,7277.8457,3790.7695,11068.615,0,0,1.9312977,1,.15000001,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,9.3119593,.058268908,0,1
31044,1,1,3,40,0,4,4,259,447218.84,7023.9546,16406.99,23430.945,0,0,1.2875319,1,.15000001,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,10.061855,1.2781522,0,1
31051,1,1,3,58,1,6,10,10,263200,3943.9707,4342.2656,8286.2363,0,1,.6772083,1,.15000001,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,9.0224714,.095310181,0,1
31061,1,1,3,31,1,8,4,5,221560,6508.3232,14464.067,20972.391,0,1,.6772083,1,.15000001,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,9.9510098,.048790164,0,1
31091,1,1,3,50,1,3,6,4.5,98800,3732.1245,552.62305,4284.7476,0,1,.6772083,1,.15000001,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,8.3630505,.044016887,0,1
31101,1,1,3,35,1,0,4,1,16845,3725.8086,735.89111,4461.6997,0,1,.6772083,1,.15000001,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,8.4035091,.0099503305,0,1
31111,1,1,3,70,1,4,9,12,704229.31,6638.3965,937.57959,7575.9761,0,0,.6772083,1,.15000001,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,8.9328699,.11332869,0,1
31121,1,1,3,55,0,0,5,12,66580,8494.7891,10105.563,18600.352,0,1,.6772083,1,.15000001,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,9.8309898,.11332869,0,1
32011,1,2,3,28,1,2,5,9,61410,4516.9849,6708.6206,11225.605,0,1,.52806121,1,.1,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,9.3260422,.086177699,0,1
32014,1,2,3,70,1,0,2,3.25,217864.41,6810.7998,1596.9688,8407.7686,0,0,1.670238,1,.1,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,9.0370302,.031983044,0,1
32015,1,2,3,35,1,9,4,43,652131.56,7695.8994,17806.535,25502.436,0,0,1.8619047,1,.1,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,10.146568,.35767445,0,1
32024,1,2,3,55,1,0,7,2,36300,5531.002,2347.1182,7878.1201,0,1,1.670238,1,.1,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,8.9719715,.019802628,0,1
32031,1,2,3,58,1,5,8,104,140760,5013.3643,5412.6064,10425.971,0,1,.52806121,1,.1,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,9.2521515,.71294981,0,1
32044,1,2,3,32,1,3,5,1,7781.8379,3020.7065,529.16479,3549.8713,0,0,1.670238,1,.1,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,8.1749487,.0099503305,0,1
32045,1,2,3,35,1,9,9,86,347272.97,8274.7627,1701.4785,9976.2412,0,0,1.8619047,1,.1,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,9.2080622,.6205765,0,1
32061,1,2,3,50,1,0,6,2,16235,4544.1421,916.90381,5461.0459,0,1,.52806121,1,.1,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,8.6055784,.019802628,0,1
32064,1,2,3,40,1,12,9,176,594667.81,4851.356,1652.6064,6503.9624,0,0,1.670238,1,.1,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,8.7803202,1.0152307,0,1
32121,1,2,3,66,0,0,5,6,54780,8804.4395,16172.688,24977.127,0,1,.52806121,1,.1,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,10.125756,.058268908,0,1
32131,1,2,3,55,0,0,5,86,232510,5575.856,1224.7935,6800.6494,0,1,.52806121,1,.1,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,8.8249207,.6205765,0,1
32141,1,2,3,30,1,3,3,5,151110,4950.6021,1117.6528,6068.2549,0,1,.52806121,1,.1,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,8.7109909,.048790164,0,1
33014,1,3,3,45,1,0,7,.2,1100,2605.804,277.24609,2883.05,0,1,1.9370569,1,.40000001,10.375784,6.7668157,13.533631,7.0211015,2.0300446,40.600895,7.9669509,.0019980026,1,1
33034,1,3,3,65,0,0,2,2,35099.473,5935.1738,876.30273,6811.4766,0,0,1.9370569,1,.40000001,10.375784,6.7668157,13.533631,7.0211015,2.0300446,40.600895,8.8265114,.019802628,1,1
33051,1,3,3,35,1,0,5,13,80950,1644.0656,262.55249,1906.618,0,1,.60296351,1,.40000001,10.375784,6.7668157,13.533631,7.0211015,2.0300446,40.600895,7.5536108,.12221763,1,1
33054,1,3,3,45,1,3,6,2,8120,2677.8545,933.82056,3611.675,0,1,1.9370569,1,.40000001,10.375784,6.7668157,13.533631,7.0211015,2.0300446,40.600895,8.1922035,.019802628,1,1
33061,1,3,3,35,1,0,5,52,209520,5022.6011,536.33789,5558.939,0,1,.60296351,1,.40000001,10.375784,6.7668157,13.533631,7.0211015,2.0300446,40.600895,8.6233425,.41871032,1,1
33064,1,3,3,35,1,0,18,342,384456.63,3221.9065,785.70239,4007.6089,0,0,1.9370569,1,.40000001,10.375784,6.7668157,13.533631,7.0211015,2.0300446,40.600895,8.2961998,1.4861397,1,1
33131,1,3,3,35,1,0,6,1.5,23100,3465.512,911.2644,4376.7764,1,1,.60296351,1,.40000001,10.375784,6.7668157,13.533631,7.0211015,2.0300446,40.600895,8.3842964,.014888613,1,1
33141,1,3,3,25,1,0,3,1,575.17932,4284.7476,765.77783,5050.5254,0,0,.60296351,1,.40000001,10.375784,6.7668157,13.533631,7.0211015,2.0300446,40.600895,8.5274458,.0099503305,1,1
41011,1,1,4,48,1,2,9,8,15405,1403.2872,278.19128,1681.4785,0,1,.72104013,1,.69999999,9.3607616,8.1201782,8.1201782,6.3342547,1.3533632,40.600895,7.4280233,.07696104,1,1
41014,1,1,4,60,1,8,10,32,60207.742,2452.2939,516.30811,2968.6021,0,0,.85106385,1,.69999999,9.3607616,8.1201782,8.1201782,6.3342547,1.3533632,40.600895,7.9961834,.27763173,1,1
41015,1,1,4,45,1,12,5,144,17910,2360.2654,706.45532,3066.7207,1,1,2.3640661,1,.69999999,9.3607616,8.1201782,8.1201782,6.3342547,1.3533632,40.600895,8.0286903,.89199805,1,1
41021,1,1,4,32,1,0,5,2,12315,2166.4636,488.56421,2655.0278,1,1,.72104013,1,.69999999,9.3607616,8.1201782,8.1201782,6.3342547,1.3533632,40.600895,7.8845868,.019802628,1,1
41034,1,1,4,25,1,0,2,7,9947.2188,2779.1311,663.14795,3442.2791,0,0,.85106385,1,.69999999,9.3607616,8.1201782,8.1201782,6.3342547,1.3533632,40.600895,8.1441793,.067658648,1,1
41035,1,1,4,45,1,0,5,535,356793.88,3793.2063,2411.6926,6204.8989,0,0,2.3640661,1,.69999999,9.3607616,8.1201782,8.1201782,6.3342547,1.3533632,40.600895,8.7332554,1.8484548,1,1
41041,1,1,4,50,1,0,5,78,130050,2751.6577,502.0979,3253.7556,1,0,.72104013,1,.69999999,9.3607616,8.1201782,8.1201782,6.3342547,1.3533632,40.600895,8.0878725,.57661337,1,1
41054,1,1,4,40,1,0,5,10,26979.297,2265.5298,265.80054,2531.3303,0,0,.85106385,1,.69999999,9.3607616,8.1201782,8.1201782,6.3342547,1.3533632,40.600895,7.8368955,.095310181,1,1
41071,1,1,4,65,1,1,4,32,63605,2700.2979,195.3916,2895.6895,1,1,.72104013,1,.69999999,9.3607616,8.1201782,8.1201782,6.3342547,1.3533632,40.600895,7.971324,.27763173,1,1
41091,1,1,4,35,1,8,5,1,41900,2674.2456,6159.1558,8833.4014,1,1,.72104013,1,.69999999,9.3607616,8.1201782,8.1201782,6.3342547,1.3533632,40.600895,9.0864086,.0099503305,1,1
41101,1,1,4,30,1,1,2,125,272650,3786.71,1146.9751,4933.6851,1,1,.72104013,1,.69999999,9.3607616,8.1201782,8.1201782,6.3342547,1.3533632,40.600895,8.5040445,.81093019,1,1
41111,1,1,4,45,1,0,5,52,102070,4991.2031,943.29395,5934.4971,1,1,.72104013,1,.69999999,9.3607616,8.1201782,8.1201782,6.3342547,1.3533632,40.600895,8.6887064,.41871032,1,1
42011,1,2,4,38,1,0,6,3,14365,3823.2507,1387.197,5210.4478,0,1,.42328042,1,.60000002,10.375784,7.4434972,8.1201782,7.0211015,1.3533632,47.36771,8.5586128,.029558802,1,1
42015,1,2,4,40,1,5,7,342,261097.58,2392.7461,614.81323,3007.5593,0,0,3.3862433,1,.60000002,10.375784,7.4434972,8.1201782,7.0211015,1.3533632,47.36771,8.0092163,1.4861397,1,1
42025,1,2,4,40,1,0,4,62,40545,4275.2739,1618.9609,5894.2349,0,1,3.3862433,1,.60000002,10.375784,7.4434972,8.1201782,7.0211015,1.3533632,47.36771,8.6819,.48242614,1,1
42034,1,2,4,60,1,4,5,78,54188.656,3845.1753,871.56592,4716.7412,0,0,.95238096,1,.60000002,10.375784,7.4434972,8.1201782,7.0211015,1.3533632,47.36771,8.4590855,.57661337,1,1
42035,1,2,4,30,1,0,4,293,194060,2317.9727,433.07617,2751.0488,1,0,3.3862433,1,.60000002,10.375784,7.4434972,8.1201782,7.0211015,1.3533632,47.36771,7.9201012,1.3686395,1,1
42041,1,2,4,45,1,0,6,3,10170,2099.5173,685.13989,2784.6572,1,1,.42328042,1,.60000002,10.375784,7.4434972,8.1201782,7.0211015,1.3533632,47.36771,7.9322391,.029558802,1,1
42044,1,2,4,28,1,0,4,12.5,19894.438,2392.7461,378.0957,2770.8418,0,0,.95238096,1,.60000002,10.375784,7.4434972,8.1201782,7.0211015,1.3533632,47.36771,7.9272671,.11778303,1,1
42054,1,2,4,55,1,0,4,40,32150,5329.5439,5614.7656,10944.31,1,0,.95238096,1,.60000002,10.375784,7.4434972,8.1201782,7.0211015,1.3533632,47.36771,9.3006659,.33647224,1,1
42092,1,2,4,33,1,7,2,18,38160,2199.2151,11576.33,13775.545,0,1,.42328042,1,.60000002,10.375784,7.4434972,8.1201782,7.0211015,1.3533632,47.36771,9.5307226,.16551444,1,1
42112,1,2,4,35,1,0,4,2,17280,2999.3909,635.23486,3634.6257,1,0,.42328042,1,.60000002,10.375784,7.4434972,8.1201782,7.0211015,1.3533632,47.36771,8.1985369,.019802628,1,1
43024,1,3,4,27,1,0,4,9,89254.297,2062.8638,773.10864,2835.9724,0,0,1.8197182,1,.60000002,9.0224209,7.4434972,8.1201782,6.1053057,1.6917039,47.36771,7.9504929,.086177699,0,1
43025,1,3,4,46,1,3,4,6,30207.066,1952.5646,507.51111,2460.0757,0,0,2.0070422,1,.60000002,9.0224209,7.4434972,8.1201782,6.1053057,1.6917039,47.36771,7.8083539,.058268908,0,1
43044,1,3,4,37,1,6,4,33,47585,4787.8604,2306.6382,7094.4985,0,0,1.8197182,1,.60000002,9.0224209,7.4434972,8.1201782,6.1053057,1.6917039,47.36771,8.8672161,.28517893,0,1
43051,1,3,4,40,1,0,6,7,29700,3072.1343,1736.252,4808.3862,0,1,.49061036,1,.60000002,9.0224209,7.4434972,8.1201782,6.1053057,1.6917039,47.36771,8.4783249,.067658648,0,1
43054,1,3,4,35,1,0,4,3,16595,2480.7146,3761.5037,6242.2183,0,1,1.8197182,1,.60000002,9.0224209,7.4434972,8.1201782,6.1053057,1.6917039,47.36771,8.7392511,.029558802,0,1
43061,1,3,4,34,1,7,4,3,20820,2375.1523,444.07227,2819.2246,0,1,.49061036,1,.60000002,9.0224209,7.4434972,8.1201782,6.1053057,1.6917039,47.36771,7.944572,.029558802,0,1
43071,1,3,4,38,1,5,5,136,106815,2681.283,1674.1101,4355.3931,0,1,.49061036,1,.60000002,9.0224209,7.4434972,8.1201782,6.1053057,1.6917039,47.36771,8.3793993,.85866159,0,1
43081,1,3,4,55,1,0,7,6,33085,2780.9678,492.04419,3273.012,0,1,.49061036,1,.60000002,9.0224209,7.4434972,8.1201782,6.1053057,1.6917039,47.36771,8.093771,.058268908,0,1
43091,1,3,4,48,1,8,5,13,130580,2800.6494,4141.291,6941.9404,0,1,.49061036,1,.60000002,9.0224209,7.4434972,8.1201782,6.1053057,1.6917039,47.36771,8.8454809,.12221763,0,1
43101,1,3,4,55,1,5,4,263,206830,5745.7031,3789.417,9535.1201,0,1,.49061036,1,.60000002,9.0224209,7.4434972,8.1201782,6.1053057,1.6917039,47.36771,9.1628418,1.2892326,0,1
43111,1,3,4,37,1,5,4,1,805,2313.5742,964.27124,3277.8455,0,1,.49061036,1,.60000002,9.0224209,7.4434972,8.1201782,6.1053057,1.6917039,47.36771,8.0952463,.0099503305,0,1
43121,1,3,4,40,0,0,2,2,9570,3131.6821,962.57959,4094.2617,0,1,.49061036,1,.60000002,9.0224209,7.4434972,8.1201782,6.1053057,1.6917039,47.36771,8.3175859,.019802628,0,1
44014,1,4,4,30,1,8,3,5,22465.826,3855.2805,585.78052,4441.061,0,0,1.0945274,1,.62142855,8.7968597,8.7968597,9.4735422,5.9526725,1.8608743,43.307621,8.3988733,.048790164,0,1
44015,1,4,4,36,1,0,4,119,112241.16,4125.0508,977.80469,5102.8555,0,0,1.5124378,1,.62142855,8.7968597,8.7968597,9.4735422,5.9526725,1.8608743,43.307621,8.5377512,.78390157,0,1
44024,1,4,4,35,1,0,4,5,18155.367,3620.2463,612.39673,4232.6431,0,0,1.0945274,1,.62142855,8.7968597,8.7968597,9.4735422,5.9526725,1.8608743,43.307621,8.3508177,.048790164,0,1
44025,1,4,4,38,1,5,5,164,185410.73,3720.1245,1011.3682,4731.4927,0,0,1.5124378,1,.62142855,8.7968597,8.7968597,9.4735422,5.9526725,1.8608743,43.307621,8.4622078,.97077894,0,1
44035,1,4,4,62,1,1,5,132,111219.38,2434.4297,196.91431,2631.344,0,0,1.5124378,1,.62142855,8.7968597,8.7968597,9.4735422,5.9526725,1.8608743,43.307621,7.8756299,.84156716,0,1
44044,1,4,4,29,1,0,4,2,8336.7168,2392.7461,297.23218,2689.9783,0,0,1.0945274,1,.62142855,8.7968597,8.7968597,9.4735422,5.9526725,1.8608743,43.307621,7.8976603,.019802628,0,1
44051,1,4,4,50,1,0,5,48,76668.023,3927.7302,1220.7336,5148.4639,0,1,.69651741,1,.62142855,8.7968597,8.7968597,9.4735422,5.9526725,1.8608743,43.307621,8.546648,.3920421,0,1
44054,1,4,4,26,1,0,3,15,20313.979,2905.2195,676.68164,3581.9011,0,0,1.0945274,1,.62142855,8.7968597,8.7968597,9.4735422,5.9526725,1.8608743,43.307621,8.1839285,.13976194,0,1
